Building			Minerals	Gas		Time	Supply	Requirements
Nexus 				400 		0		100		10		Probe
Pylon 				100 		0		25		8		Probe
Assimilator 		75			0		30		0		Probe
Gateway 			150 		0		65		0		Probe, Nexus, Pylon
Forge 				150 		0		45		0		Probe, Nexus, Pylon
PhotonCannon 		150 		0		40		0		Probe, Forge
Warpgate 			0			0		10		0		Probe, Gateway
CyberneticsCore 	150 		0		50		0		Probe, Gateway
TwilightCouncil 	150 		100 	50		0		Probe, CyberneticsCore
RoboticsFacility 	200 		100 	65		0		Probe, CyberneticsCore
Stargate 			150 		150 	60		0		Probe, CyberneticsCore
TemplarArchives 	150 		200 	50		0		Probe, TwilightCouncil
DarkShrine			150 		150 	100		0		Probe, TwilightCouncil
RoboticsBay 		200 		200 	65		0		Probe, RoboticsFacility
FleetBeacon 		300 		200 	60		0		Probe, Stargate
